"Ahoj, Pane mimozemšťaně",165000,183000,2
 Ráda vás poznávám,190060,210060,2
 Chápu Naučím vás zemské etiketě,223614.0,244114,0
 To jsou pravidla slušnosti,251598,271598,0
 Začněme s podáním ruky,281099.0,298599,0
 Stoupnete si usmějete se,305438,325438,0
 Ruku podáváte ze předu,333963,353763,0
 Jen na chvíli ne moc,361074,380074,0
 Buďte klidný nic se neděje,388368,408168,0
 Ano trénink je důležitý,423029,441029,0
 Jistě ptejte se,448043,462643.0,0
 Volte elegantní oblečení,476371,492471.0,1
 Dlouhé šaty nebo oblek,507968.0,524667,0
 Ano kravata je vhodná,530658,549658,0
 Neutrální barvy jsou nejlepší,558630,578630,0
 Malé a decentní to stačí,588612,609212,0
 Méně je někdy více,622284,642284,0
 Dalším pravidlem je chování,649908,669908,1
 Mluvte s respektem k ostatním,676939,696939,0
 Vyjadřujte názory zdvořile,751154,767554.0,1
Říkáme tomu konstruktivní,781863.0,798163,1
Nabídněte pomoc když,808030,826030,0
 Zvolte jednoduchá oblíbená jídla,835960,855560,0
 Voda víno nebo šampaňské,863773,882773,1
 Hledejte oči pozvedněte sklenku,898116,918766.0,0
 Ale nezapomeňte na úsměv,934090,953090,0
Po vznesení přípitku,967568.0,983568.0,2
 Nabídněte alkoholické nápoje i bez,990200,1012850.0,0
Udržujte pořádek všechny talíře,1019230,1039730.0,0
Zvenku dovnitř,1051979.0,1065879.0,0
Strojené ubrousky v elegantních,1077762,1098262.0,1
 Bude to zábava uvidíte,1121634,1141634,0
 Naučíme se jezdit elegantně,1166602,1186602,0
 Sedněte si vzpřímeně nešoupejte,1196931,1216530,1
 Ukousněte si malé sousta,1237842,1257442,0
 Zkušení lidé to ocení,1263820,1283820,0
 A nezapomeňte na úsměv,1291691,1311691,1
Pane mimozemšťane co nosíte,1324684.0,1340983,0
 To vypadá pohodlně,1348243,1362943.0,0
Oblečení je pro vás,1424759,1442759,0
Tričko k tomu,1451184,1470184,0
 Co na spaní,1478062,1491661.0,0
 Jaké barvy preferujete,1508399,1524399.0,0
 Mám ráda růžovou,1535378,1548778.0,0
 A co doma,1562802,1578002.0,0
 Tepláky a tričko,1592334.0,1601933.0,0
 A župan na to,1617640,1635640,0
 Nosíte ho často,1642703,1657903.0,0
 Co na venkovní aktivity,1671199,1690999,1
 A boty,1697948,1707248.0,0
 Mám sportovní tenisky,1727238,1742338.0,0
 A když prší,1754559,1772559,1
 A co slunce,1780423,1796923.0,0
 Co s vlasy venku,1807663,1825663,0
 A co stylový šátek,1836934,1854933,2
 Mě se líbí šátky,1872120,1890120,2
 Co si vezmeš na dovolenou,1898389,1918389,0
 Koupací šaty také,1925739,1939339.0,0
 Co na večerní události,1953765,1973565,0
 A měkké kalhoty stačí,2029403,2049403,2
 A boty na podpatku,2057902,2075902,0
 A co k večernímu oblečení,2084608,2105208,2
 Co například,2111764,2127764,0
 Jaké barvy,2135977,2145277.0,0
 Všechno musí ladit,2163797,2182796,2
Jak jsi na tom s,2191546,2210346,0
Kam se chystáš na,2250600.0,2265400,0
 Co si tam vezmeš,2271376,2285876.0,2
